0:0	quest:id
5:3	cluehelper_clue_map:requirements
5:4	cluehelper_clue_map:region
5:5	cluehelper_clue_map:allregions
6:0	cluehelper_clue_cipher:id
6:1	cluehelper_clue_cipher:difficulty
6:2	cluehelper_clue_cipher:clue_text
6:3	cluehelper_clue_cipher:target
6:4	cluehelper_clue_cipher:challenge
6:5	cluehelper_clue_cipher:requirements
6:6	cluehelper_clue_cipher:region
6:7	cluehelper_clue_cipher:allregions
7:0	cluehelper_clue_coordinate:id
7:1	cluehelper_clue_coordinate:difficulty
7:2	cluehelper_clue_coordinate:clue_text
7:3	cluehelper_clue_coordinate:target
7:4	cluehelper_clue_coordinate:requirements
7:5	cluehelper_clue_coordinate:combat_encounter
7:6	cluehelper_clue_coordinate:region
7:7	cluehelper_clue_coordinate:allregions
8:0	cluehelper_clue_cryptic:id
8:1	cluehelper_clue_cryptic:difficulty
8:2	cluehelper_clue_cryptic:clue_text
8:3	cluehelper_clue_cryptic:target
8:4	cluehelper_clue_cryptic:requirements
8:5	cluehelper_clue_cryptic:challenge
8:6	cluehelper_clue_cryptic:outfit_text_fallback
8:7	cluehelper_clue_cryptic:outfit
8:8	cluehelper_clue_cryptic:hidey_hole_loc
8:9	cluehelper_clue_cryptic:hidey_hole_coord
8:10	cluehelper_clue_cryptic:region
8:11	cluehelper_clue_cryptic:allregions
9:0	cluehelper_clue_emote:id
9:1	cluehelper_clue_emote:difficulty
9:2	cluehelper_clue_emote:clue_text
9:3	cluehelper_clue_emote:target
9:4	cluehelper_clue_emote:emote
9:5	cluehelper_clue_emote:outfit_text_fallback
9:6	cluehelper_clue_emote:outfit
9:7	cluehelper_clue_emote:hidey_hole_loc
9:8	cluehelper_clue_emote:hidey_hole_coord
9:9	cluehelper_clue_emote:combat_encounter
9:10	cluehelper_clue_emote:requirements
9:11	cluehelper_clue_emote:region
9:12	cluehelper_clue_emote:allregions
10:0	cluehelper_clue_fairyring:id
10:1	cluehelper_clue_fairyring:difficulty
10:2	cluehelper_clue_fairyring:clue_text
10:3	cluehelper_clue_fairyring:fairyring
10:4	cluehelper_clue_fairyring:steps
10:5	cluehelper_clue_fairyring:target
10:6	cluehelper_clue_fairyring:requirements
10:7	cluehelper_clue_fairyring:region
10:8	cluehelper_clue_fairyring:allregions
11:0	cluehelper_clue_falobard:id
11:1	cluehelper_clue_falobard:difficulty
11:2	cluehelper_clue_falobard:clue_text
11:3	cluehelper_clue_falobard:target
11:4	cluehelper_clue_falobard:requirements
11:5	cluehelper_clue_falobard:region
11:6	cluehelper_clue_falobard:allregions
12:0	cluehelper_clue_hotcold:id
12:1	cluehelper_clue_hotcold:difficulty
12:2	cluehelper_clue_hotcold:target
12:3	cluehelper_clue_hotcold:requirements
12:4	cluehelper_clue_hotcold:combat_encounter
12:5	cluehelper_clue_hotcold:region
12:6	cluehelper_clue_hotcold:allregions
13:0	cluehelper_clue_music:id
13:1	cluehelper_clue_music:difficulty
13:2	cluehelper_clue_music:music
13:3	cluehelper_clue_music:unlock_text
13:4	cluehelper_clue_music:target
13:5	cluehelper_clue_music:requirements
13:6	cluehelper_clue_music:region
13:7	cluehelper_clue_music:allregions
14:0	cluehelper_clue_skillchallenge:id
14:1	cluehelper_clue_skillchallenge:difficulty
14:2	cluehelper_clue_skillchallenge:clue_text
14:3	cluehelper_clue_skillchallenge:requirements
14:4	cluehelper_clue_skillchallenge:target
14:5	cluehelper_clue_skillchallenge:region
14:6	cluehelper_clue_skillchallenge:allregions
15:0	cluehelper_target_npc:npc
15:1	cluehelper_target_npc:fallback_npc
15:2	cluehelper_target_npc:coord
15:3	cluehelper_target_npc:description
15:4	cluehelper_target_npc:teleport_coord
15:5	cluehelper_target_npc:teleport_restriction_quest
15:6	cluehelper_target_npc:teleport_restriction_skill
15:7	cluehelper_target_npc:teleport_restriction_custom
16:0	cluehelper_target_loc:loc
16:1	cluehelper_target_loc:fallback_loc
16:2	cluehelper_target_loc:coord
16:3	cluehelper_target_loc:description
16:4	cluehelper_target_loc:teleport_coord
16:5	cluehelper_target_loc:teleport_restriction_quest
16:6	cluehelper_target_loc:teleport_restriction_skill
16:7	cluehelper_target_loc:teleport_restriction_custom
17:0	cluehelper_target_mapzone:coord_sw
17:1	cluehelper_target_mapzone:coord_ne
17:2	cluehelper_target_mapzone:description
17:3	cluehelper_target_mapzone:teleport_coord
17:4	cluehelper_target_mapzone:teleport_restriction_quest
17:5	cluehelper_target_mapzone:teleport_restriction_skill
17:6	cluehelper_target_mapzone:teleport_restriction_custom
18:0	cluehelper_target_coord:coord
18:1	cluehelper_target_coord:description
18:2	cluehelper_target_coord:description_short
18:3	cluehelper_target_coord:teleport_coord
18:4	cluehelper_target_coord:teleport_restriction_quest
18:5	cluehelper_target_coord:teleport_restriction_skill
18:6	cluehelper_target_coord:teleport_restriction_custom
19:0	cluehelper_target_key:loc
19:1	cluehelper_target_key:loc_coord
19:2	cluehelper_target_key:npcs
19:3	cluehelper_target_key:key
19:4	cluehelper_target_key:key_coord
19:5	cluehelper_target_key:inv
19:6	cluehelper_target_key:count
19:7	cluehelper_target_key:description
19:8	cluehelper_target_key:teleport_coord
19:9	cluehelper_target_key:teleport_restriction_quest
19:10	cluehelper_target_key:teleport_restriction_skill
19:11	cluehelper_target_key:teleport_restriction_custom
20:0	cluehelper_target_kill:npcs
20:1	cluehelper_target_kill:coord
20:2	cluehelper_target_kill:description
20:3	cluehelper_target_kill:teleport_coord
20:4	cluehelper_target_kill:teleport_restriction_quest
20:5	cluehelper_target_kill:teleport_restriction_skill
20:6	cluehelper_target_kill:teleport_restriction_custom
21:0	cluehelper_requirement_obj:description
21:1	cluehelper_requirement_obj:item
21:2	cluehelper_requirement_obj:inv
21:3	cluehelper_requirement_obj:count
22:0	cluehelper_requirement_obj_param_trail_item:description
22:1	cluehelper_requirement_obj_param_trail_item:item_group
23:0	cluehelper_requirement_quest:description
23:1	cluehelper_requirement_quest:quest
23:2	cluehelper_requirement_quest:varstate
24:0	cluehelper_requirement_stat:stat
24:1	cluehelper_requirement_stat:level
25:0	cluehelper_challenge_question:question
26:0	cluehelper_challenge_box:description
27:0	cluehelper_combat_encounter:description
27:1	cluehelper_combat_encounter:npcs
28:0	cluehelper_outfit:description
28:1	cluehelper_outfit:wearpos_hat
28:2	cluehelper_outfit:wearpos_back
28:3	cluehelper_outfit:wearpos_front
28:4	cluehelper_outfit:wearpos_rhand
28:5	cluehelper_outfit:wearpos_torso
28:6	cluehelper_outfit:wearpos_lhand
28:7	cluehelper_outfit:wearpos_legs
28:8	cluehelper_outfit:wearpos_hands
28:9	cluehelper_outfit:wearpos_feet
28:10	cluehelper_outfit:wearpos_ring
28:11	cluehelper_outfit:wearpos_quiver
28:12	cluehelper_outfit:wearpos_param_hat
28:13	cluehelper_outfit:wearpos_param_back
28:14	cluehelper_outfit:wearpos_param_front
28:15	cluehelper_outfit:wearpos_param_rhand
28:16	cluehelper_outfit:wearpos_param_torso
28:17	cluehelper_outfit:wearpos_param_lhand
28:18	cluehelper_outfit:wearpos_param_legs
28:19	cluehelper_outfit:wearpos_param_hands
28:20	cluehelper_outfit:wearpos_param_feet
28:21	cluehelper_outfit:wearpos_param_ring
28:22	cluehelper_outfit:wearpos_param_quiver
28:23	cluehelper_outfit:wearpos_param_any
29:0	dbg_dummy_table:id
30:0	fsw_info_fresh_table:info
31:0	fsw_info_normal_table:info
32:0	fsw_points_info_table:info
33:0	fsw_points_boss_info_table:info
34:0	item_transmog:group
34:1	item_transmog:group_id
34:2	item_transmog:namedobj
34:3	item_transmog:ui_name
34:4	item_transmog:ui_examine
34:5	item_transmog:ui_op_name
35:0	combination_lock_dataset:min_length
35:1	combination_lock_dataset:max_length
35:2	combination_lock_dataset:value_type
35:3	combination_lock_dataset:values
35:4	combination_lock_dataset:randomise_start
36:0	combination_lock_values:string_value
36:1	combination_lock_values:graphic_value
37:0	hair_styles:name
37:1	hair_styles:player_kit_id_type_a
37:2	hair_styles:player_kit_id_type_b
37:3	hair_styles:head_model
37:4	hair_styles:updo_variant_type_a
37:5	hair_styles:updo_variant_type_b
38:0	facial_hair_styles:name
38:1	facial_hair_styles:player_kit_id_type_a
38:2	facial_hair_styles:player_kit_id_type_b
38:3	facial_hair_styles:chat_head
39:0	omnishop_shop_data:omnishop_shop_name
39:1	omnishop_shop_data:omnishop_shop_inv
39:2	omnishop_shop_data:omnishop_shop_currency
39:3	omnishop_shop_data:omnishop_shop_filter_titles
39:4	omnishop_shop_data:omnishop_shop_purse
39:5	omnishop_shop_data:omnishop_shop_stock
39:6	omnishop_shop_data:omnishop_shop_cost_mod_buy
39:7	omnishop_shop_data:omnishop_shop_cost_mod_sell
39:8	omnishop_shop_data:omnishop_shop_cost_mod_haggle
39:9	omnishop_shop_data:omnishop_shop_cost_currency
39:10	omnishop_shop_data:omnishop_shop_info_title
39:11	omnishop_shop_data:omnishop_shop_info_intro_desc
39:12	omnishop_shop_data:omnishop_shop_info_instructions
39:13	omnishop_shop_data:omnishop_shop_main_op_text
39:14	omnishop_shop_data:omnishop_shop_side_op_text
40:0	omnishop_stock_data:omnishop_stock_obj
40:1	omnishop_stock_data:omnishop_stock_alternateobj
40:2	omnishop_stock_data:omnishop_stock_toggle_var
40:3	omnishop_stock_data:omnishop_stock_toggle_var_owned_state
40:4	omnishop_stock_data:omnishop_stock_reclaimable
40:5	omnishop_stock_data:omnishop_stock_filter_id
40:6	omnishop_stock_data:omnishop_stock_cost
40:7	omnishop_stock_data:omnishop_stock_cost_mod_buy
40:8	omnishop_stock_data:omnishop_stock_cost_mod_sell
40:9	omnishop_stock_data:omnishop_stock_cost_mod_haggle
40:10	omnishop_stock_data:omnishop_stock_transaction_multiplier
40:11	omnishop_stock_data:omnishop_stock_restricted
40:12	omnishop_stock_data:omnishop_stock_restricted_category
40:13	omnishop_stock_data:omnishop_stock_restricted_uim
40:14	omnishop_stock_data:omnishop_stock_buyable
40:15	omnishop_stock_data:omnishop_stock_sellable
40:16	omnishop_stock_data:omnishop_stock_sold_noted
40:17	omnishop_stock_data:omnishop_stock_view_only
41:0	omnishop_currency_data:omnishop_currency_obj
41:1	omnishop_currency_data:omnishop_currency_name_singular
41:2	omnishop_currency_data:omnishop_currency_name_plural
41:3	omnishop_currency_data:omnishop_currency_graphic
42:0	omnishop_purse_data:omnishop_purse_inv
42:1	omnishop_purse_data:omnishop_purse_obj
43:0	whisperer_seed_spawns:id
43:1	whisperer_seed_spawns:timelimit
43:2	whisperer_seed_spawns:timelimit_awakened
43:3	whisperer_seed_spawns:weak_seed
43:4	whisperer_seed_spawns:danger_seed
44:0	music:sortname
44:1	music:displayname
44:2	music:unlockhint
44:3	music:duration
44:4	music:midi
44:5	music:variable
44:6	music:area
44:7	music:area_default
44:8	music:hidden
44:9	music:holiday
44:10	music:secondary_track
45:0	woodcutting_resource:stat_requirement
45:1	woodcutting_resource:action_delay
45:2	woodcutting_resource:base_gather_chance
45:3	woodcutting_resource:axe_gather_chance
45:4	woodcutting_resource:chop_anim_enum
45:5	woodcutting_resource:gather_sound
45:6	woodcutting_resource:track_last_resource
45:7	woodcutting_resource:group_gathering_config
45:8	woodcutting_resource:group_level_boost_cap
45:9	woodcutting_resource:group_xp_scalar_cap
45:10	woodcutting_resource:behaviour_data
46:0	woodcutting_basic_resource_data:is_farming_patch
46:1	woodcutting_basic_resource_data:gather_xp
46:2	woodcutting_basic_resource_data:cluenest_chance
46:3	woodcutting_basic_resource_data:birdsnest_chance
46:4	woodcutting_basic_resource_data:skillpet
46:5	woodcutting_basic_resource_data:skillpet_chance
46:6	woodcutting_basic_resource_data:gather_obj
46:7	woodcutting_basic_resource_data:leaves_obj
46:8	woodcutting_basic_resource_data:deplete_chance
46:9	woodcutting_basic_resource_data:respawn_time_range
47:0	gathering_event_sapling_loc:loc
47:1	gathering_event_sapling_loc:width
47:2	gathering_event_sapling_loc:length
48:0	group_gathering_resource:lifetime_range
48:1	group_gathering_resource:respawn_time_range
48:2	group_gathering_resource:buff_player_cap
48:3	group_gathering_resource:buff_id
48:4	group_gathering_resource:gathering_stat
48:5	group_gathering_resource:weakqueue_action_delay
48:6	group_gathering_resource:gathering_event_chance_data
49:0	gathering_event_chance_data:event_low_chance
49:1	gathering_event_chance_data:event_high_chance
49:2	gathering_event_chance_data:event_chance_player_cap
49:3	gathering_event_chance_data:event_start_time_buffer
49:4	gathering_event_chance_data:event_end_time_buffer
49:5	gathering_event_chance_data:events_list
50:0	gathering_event_events_list:event
51:0	misc_woodcutting_resource_data:owning_npc
51:1	misc_woodcutting_resource_data:owning_npc_name
51:2	misc_woodcutting_resource_data:resource_name
51:3	misc_woodcutting_resource_data:gather_xp
51:4	misc_woodcutting_resource_data:misc_quest_var_requirement
51:5	misc_woodcutting_resource_data:royal_quest_var_requirement
51:6	misc_woodcutting_resource_data:approval_chance
51:7	misc_woodcutting_resource_data:approval_amount
52:0	dt2_lassar_barrier:tier
52:1	dt2_lassar_barrier:id
52:2	dt2_lassar_barrier:coord
53:0	dt2_lassar_remnant:id
53:1	dt2_lassar_remnant:coord
53:2	dt2_lassar_remnant:empowered
53:3	dt2_lassar_remnant:quest_stage
54:0	dt2_lassar_door:lock_id
54:1	dt2_lassar_door:left_coord
54:2	dt2_lassar_door:right_coord
54:3	dt2_lassar_door:rotation
54:4	dt2_lassar_door:braziers_required
54:5	dt2_lassar_door:key_obj
54:6	dt2_lassar_door:key_namedobj
54:7	dt2_lassar_door:instant_unlock
55:0	dt2_lassar_chest:lock_id
55:1	dt2_lassar_chest:coord
55:2	dt2_lassar_chest:base_chest
55:3	dt2_lassar_chest:rotation
55:4	dt2_lassar_chest:loc_shape
55:5	dt2_lassar_chest:braziers_required
55:6	dt2_lassar_chest:key_obj
55:7	dt2_lassar_chest:key_namedobj
55:8	dt2_lassar_chest:item_to_give
55:9	dt2_lassar_chest:give_string
55:10	dt2_lassar_chest:instant_unlock
56:0	dt2_lassar_ghosts:ghost
57:0	dt2_lassar_npcs:npc
58:0	dt2_lassar_items:item
59:0	dt2_lassar_braziers:id
59:1	dt2_lassar_braziers:coord
60:0	dt2_scar_maze:id
60:1	dt2_scar_maze:source
60:2	dt2_scar_maze:entry_coord
60:3	dt2_scar_maze:boat_room_coord
61:0	speedrun:quest
61:1	speedrun:speedrun_state
61:2	speedrun:speedrun_trophy_times
61:3	speedrun:speedrun_item_unlocks
61:4	speedrun:speedrun_quest_unlocks
61:5	speedrun:speedrun_stat_unlocks
61:6	speedrun:speedrun_combat_stats_unlock
61:7	speedrun:speedrun_poh_location
62:0	clan_setting_options_list:clan_setting_title
62:1	clan_setting_options_list:clan_setting_option
62:2	clan_setting_options_list:clan_setting_entry_height
62:3	clan_setting_options_list:clan_setting_mobile_entry_height
62:4	clan_setting_options_list:clan_setting_icon_size
63:0	varlamore_thieving_house:id
63:1	varlamore_thieving_house:house_coord
63:2	varlamore_thieving_house:outside_door_coord
63:3	varlamore_thieving_house:inside_door_coord
63:4	varlamore_thieving_house:wander_coord
63:5	varlamore_thieving_house:window_outside_coord
63:6	varlamore_thieving_house:house_name
63:7	varlamore_thieving_house:house_name_pronoun
63:8	varlamore_thieving_house:house_area
63:9	varlamore_thieving_house:house_lootable
63:10	varlamore_thieving_house:house_door_rotation_open
63:11	varlamore_thieving_house:house_door_rotation_closed
64:0	quetzal:id
64:1	quetzal:name
64:2	quetzal:coord
64:3	quetzal:if_model
64:4	quetzal:if_x_pos
64:5	quetzal:if_y_pos
64:6	quetzal:auto_unlocked
64:7	quetzal:npc
64:8	quetzal:loc
65:0	torso_styles:name
65:1	torso_styles:player_kit_id_type_a
65:2	torso_styles:player_kit_id_type_b
65:3	torso_styles:torso_model_type_a_1
65:4	torso_styles:torso_model_type_a_2
65:5	torso_styles:torso_model_type_b_1
65:6	torso_styles:torso_model_type_b_2
66:0	sleeve_styles:name
66:1	sleeve_styles:player_kit_id_type_a
66:2	sleeve_styles:player_kit_id_type_b
66:3	sleeve_styles:sleeve_model_type_a
66:4	sleeve_styles:sleeve_model_type_b
67:0	legging_styles:name
67:1	legging_styles:player_kit_id_type_a
67:2	legging_styles:player_kit_id_type_b
67:3	legging_styles:legging_model_type_a
67:4	legging_styles:legging_model_type_b
68:0	shoe_styles:name
68:1	shoe_styles:player_kit_id_type_a
68:2	shoe_styles:player_kit_id_type_b
68:3	shoe_styles:shoe_model_type_a
68:4	shoe_styles:shoe_model_type_b
69:0	hand_styles:name
69:1	hand_styles:player_kit_id_type_a
69:2	hand_styles:player_kit_id_type_b
69:3	hand_styles:hand_model_type_a
69:4	hand_styles:hand_model_type_b
70:0	vmq3_tower_trial_3:suspect_id
70:1	vmq3_tower_trial_3:suspect_npc
70:2	vmq3_tower_trial_3:name
70:3	vmq3_tower_trial_3:response
70:4	vmq3_tower_trial_3:response_wrong
71:0	vmq3_tower_trial_4_cone:direction
71:1	vmq3_tower_trial_4_cone:tile_data
72:0	pendant_of_ates_teleports:id
72:1	pendant_of_ates_teleports:teleport_name
72:2	pendant_of_ates_teleports:teleport_coord
72:3	pendant_of_ates_teleports:teleport_if_layer
73:0	eaa_shame_game:id
73:1	eaa_shame_game:option
74:0	varlamore_wyrm_agility_route:name_lowercase
74:1	varlamore_wyrm_agility_route:name_capitalised
74:2	varlamore_wyrm_agility_route:agility_level
74:3	varlamore_wyrm_agility_route:pet_rate
74:4	varlamore_wyrm_agility_route:completion_xp
74:5	varlamore_wyrm_agility_route:route_length
74:6	varlamore_wyrm_agility_route:obstacles_enum
74:7	varlamore_wyrm_agility_route:termite_obstacle_ids
75:0	huey_special_attack:phase
75:1	huey_special_attack:cd
75:2	huey_special_attack:attacks
76:0	chartering_destination_data:chartering_destination_id
76:1	chartering_destination_data:chartering_destination_name
76:2	chartering_destination_data:chartering_destination_ui_label
76:3	chartering_destination_data:chartering_destination_ui_marker
76:4	chartering_destination_data:chartering_destination_port_coord
77:0	prepot_device_loadout_ui:loadout_id
77:1	prepot_device_loadout_ui:container_com
77:2	prepot_device_loadout_ui:contents_com
77:3	prepot_device_loadout_ui:load_btn_com
77:4	prepot_device_loadout_ui:save_btn_com
78:0	combat_interface_weapon_category:id
78:1	combat_interface_weapon_category:button
79:0	hiscores_skill_info:skillname
79:1	hiscores_skill_info:skillid
79:2	hiscores_skill_info:skillicon
80:0	hiscores_activity_info:activityvarp
80:1	hiscores_activity_info:activityname
80:2	hiscores_activity_info:activityicon
81:0	hiscores_bosses_info:bossname
81:1	hiscores_bosses_info:bossicon
81:2	hiscores_bosses_info:bossvarp
82:0	region_data:region_id
82:1	region_data:name
82:2	region_data:map_graphic
82:3	region_data:map_component
82:4	region_data:map_shield_sprite
82:5	region_data:map_shield_sprite_highlighted
82:6	region_data:map_shield_sprite_small
82:7	region_data:map_name_sprite
82:8	region_data:map_name_sprite_highlighted
82:9	region_data:map_slideshow
82:10	region_data:area_info
82:11	region_data:area_teleport_coord
83:0	toggle_list_interface:title
83:1	toggle_list_interface:info
83:2	toggle_list_interface:disable_on_leagues
84:0	league_slayer_task_data:task_id
84:1	league_slayer_task_data:min_comlevel
84:2	league_slayer_task_data:min_stat_requirement_all
84:3	league_slayer_task_data:min_stat_requirement_any
84:4	league_slayer_task_data:leagues_min_comlevel
84:5	league_slayer_task_data:leagues_max_comlevel
84:6	league_slayer_task_data:quests_required_all
84:7	league_slayer_task_data:quests_required_any
84:8	league_slayer_task_data:regions
84:9	league_slayer_task_data:name_lowercase
84:10	league_slayer_task_data:name_uppercase
84:11	league_slayer_task_data:slayer_tip
84:12	league_slayer_task_data:master_weight_minamount_maxamount
85:0	leagues_echo_bosses:echo_orb_droprate
85:1	leagues_echo_bosses:echo_orb_object
85:2	leagues_echo_bosses:unique_drop
85:3	leagues_echo_bosses:unique_drop_rate
85:4	leagues_echo_bosses:ca_data
85:5	leagues_echo_bosses:description
85:6	leagues_echo_bosses:difficulty
85:7	leagues_echo_bosses:region
85:8	leagues_echo_bosses:name
85:9	leagues_echo_bosses:requirements
86:0	magic_enchant:base
86:1	magic_enchant:output
86:2	magic_enchant:spell
86:3	magic_enchant:members
86:4	magic_enchant:castxp
86:5	magic_enchant:anim
86:6	magic_enchant:spotanim
86:7	magic_enchant:sound
86:8	magic_enchant:special
86:9	magic_enchant:failmes
87:0	charges:max_charges
87:1	charges:charge_item_and_quantity
87:2	charges:charges_granted
87:3	charges:charges_type
87:4	charges:charges_quantity_bits_and_varp
88:0	synth:name
88:1	synth:sub_menu
88:2	synth:synth
88:3	synth:parent_directory
89:0	fairyring:id
89:1	fairyring:multiloc_state
89:2	fairyring:dest_coord
89:3	fairyring:code
89:4	fairyring:text_component
89:5	fairyring:fave_icon_component
89:6	fairyring:mapelement
89:7	fairyring:mapelement_tooltip
89:8	fairyring:desc
89:9	fairyring:apparition_npc
89:10	fairyring:show_apparition
89:11	fairyring:no_staff_return
